species_code,taxocode,scientific_name,english_name,french_name,spanish_name,arabic_name,chinese_name,russian_name,author,family,order,stats_data,isscaap_code,isscaap_group_en,isscaap_group_fr,isscaap_group_es,isscaap_division_code,isscaap_division_en,isscaap_division_fr,isscaap_division_es
YCL,1400100101,Cycleptus elongatus,Blue sucker,,,,,,(Lesueur 1817),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
DEU,1400100201,Deltistes luxatus,Lost River sucker,,,,,,(Cope 1879),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ATC,1400100401,Catostomus catostomus,Longnose sucker,,,,,,(Forster 1773),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ATO,1400100402,Catostomus commersoni,White sucker,,,,,,(Lacépède 1803),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ATS,1400100403,Catostomus latipinnis,Flannelmouth sucker,,,,,,Baird & Girard 1853,Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ATU,1400100404,Catostomus macrocheilus,Largescale sucker,,,,,,Girard 1856,Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ATE,1400100405,Catostomus tahoensis,Tahoe sucker,,,,,,Gill & Jordan 1878,Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
MOG,1400100601,Moxostoma congestum,Gray redhorse,,,,,,(Baird & Girard 1854),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
MOE,1400100602,Moxostoma erythrurum,Golden redhorse,,,,,,(Rafinesque 1818),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
MOM,1400100603,Moxostoma macrolepidotum,Shorthead redhorse,,,,,,(Lesueur 1817),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
